user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	"other_related_references(genome_id,species_name,radius,ANI,AF)"	msa_percent	translation_table	red_value	warnings
Sa_bin.112.fa	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__RUG14156;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	76.67	11	0.779463565	N/A
Sa_bin.113.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	ANI	N/A	"GCF_003473295.1, s__Parabacteroides sp003473295, 95.0, 78.54, 0.26; GCF_000154105.1, s__Parabacteroides merdae, 95.0, 78.43, 0.27; GCF_900186615.1, s__Parabacteroides bouchesdurhonensis, 95.0, 78.4, 0.18; GCF_000156495.1, s__Parabacteroides johnsonii, 95.0, 78.38, 0.27; GCF_003363715.1, s__Parabacteroides acidifaciens, 95.0, 78.36, 0.27; GCF_900128505.1, s__Parabacteroides timonensis, 95.0, 78.34, 0.24; GCF_000969825.1, s__Parabacteroides gordonii, 95.0, 78.32, 0.24; GCA_900760525.1, s__Parabacteroides sp900760525, 95.0, 78.3, 0.24; GCF_900155425.1, s__Parabacteroides massiliensis, 95.0, 78.29, 0.24; GCF_014287585.1, s__Parabacteroides sp014287585, 95.0, 78.26, 0.27; GCA_014647375.1, s__Parabacteroides faecis, 95.0, 78.21, 0.25; GCF_000969835.1, s__Parabacteroides goldsteinii, 95.0, 78.13, 0.26; GCF_003480915.1, s__Parabacteroides sp003480915, 95.0, 78.08, 0.26; GCA_900540715.1, s__Parabacteroides sp900540715, 95.0, 77.99, 0.25; GCA_900541965.1, s__Parabacteroides sp900541965, 95.0, 77.93, 0.22; GCF_900108035.1, s__Parabacteroides chinchillae, 95.0, 77.9, 0.19; GCF_004793765.1, s__Parabacteroides distasonis_A, 95.0, 77.76, 0.17; GCF_000012845.1, s__Parabacteroides distasonis, 95.0, 77.76, 0.17; GCA_900552465.1, s__Parabacteroides sp900552465, 95.0, 77.72, 0.22; GCF_011038785.1, s__Parabacteroides sp011038785, 95.0, 77.64, 0.15; GCA_900548175.1, s__Parabacteroides sp900548175, 95.0, 77.34, 0.11; GCA_000436495.1, s__Parabacteroides sp000436495, 95.0, 77.22, 0.13; GCA_900770835.1, s__Parabacteroides sp900770835, 95.0, 77.21, 0.07; GCF_002159645.1, s__Parabacteroides sp002159645, 95.0, 77.13, 0.08; GCA_900552415.1, s__Parabacteroides sp900552415, 95.0, 76.96, 0.07; GCA_900549585.1, s__Parabacteroides sp900549585, 95.0, 76.88, 0.09; GCA_004562445.1, s__Parabacteroides sp004562445, 95.0, 76.86, 0.08; GCA_900547435.1, s__Parabacteroides sp900547435, 95.0, 76.35, 0.1"	94.76	11	0.957400369	N/A
Sa_bin.114.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	89.8	11	0.86317824	N/A
Sa_bin.116.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Bacilliculturomica;s__	N/A	N/A	N/A	N/A	N/A	GCF_900605495.1	95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Bacilliculturomica;s__Bacilliculturomica massiliensis	78.18	0.28	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	67.46	11	0.933469478	N/A
Sa_bin.119.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	N/A	N/A	N/A	N/A	N/A	GCF_902362705.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002358415	80.77	0.47	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	N/A	"GCA_900544265.1, s__Alistipes sp900544265, 95.0, 80.78, 0.5; GCF_000312145.1, s__Alistipes senegalensis, 95.0, 80.65, 0.55; GCF_006542685.1, s__Alistipes dispar, 95.0, 80.54, 0.51; GCF_000210575.1, s__Alistipes shahii, 95.0, 80.47, 0.58; GCA_900541585.1, s__Alistipes sp900541585, 95.0, 80.47, 0.56; GCF_000265365.1, s__Alistipes finegoldii, 95.0, 80.3, 0.6; GCA_900553175.1, s__Alistipes sp900553175, 95.0, 80.29, 0.55; GCF_900083545.1, s__Alistipes provencensis, 95.0, 80.18, 0.58; GCA_009774895.1, s__Alistipes sp009774895, 95.0, 80.18, 0.56; GCA_001941065.1, s__Alistipes sp001941065, 95.0, 80.17, 0.51; GCA_000434235.1, s__Alistipes sp000434235, 95.0, 80.11, 0.48; GCA_900549305.1, s__Alistipes sp900549305, 95.0, 80.01, 0.39; GCF_900290115.1, s__Alistipes sp900290115, 95.0, 79.98, 0.51; GCF_000374505.1, s__Alistipes onderdonkii, 95.0, 79.97, 0.56; GCF_900107675.1, s__Alistipes timonensis, 95.0, 79.96, 0.55; GCF_002161445.1, s__Alistipes sp002161445, 95.0, 79.91, 0.5; GCF_900021155.1, s__Alistipes sp900021155, 95.0, 79.88, 0.47; GCA_900542505.1, s__Alistipes sp900542505, 95.0, 79.74, 0.48; GCA_902388705.1, s__Alistipes sp902388705, 95.0, 79.66, 0.5; GCF_900604385.1, s__Alistipes megaguti, 95.0, 79.41, 0.48; GCA_900552955.1, s__Alistipes sp900552955, 95.0, 79.2, 0.42; GCF_006542665.1, s__Alistipes communis, 95.0, 79.09, 0.41; GCF_902363575.1, s__Alistipes sp902363575, 95.0, 79.08, 0.41; GCA_002428825.1, s__Alistipes sp002428825, 95.0, 79.08, 0.42; GCA_900550375.1, s__Alistipes sp900550375, 95.0, 78.47, 0.34; GCA_900760675.1, s__Alistipes sp900760675, 95.0, 78.37, 0.42; GCF_000154465.1, s__Alistipes putredinis, 95.0, 78.35, 0.3; GCA_003979135.1, s__Alistipes sp003979135, 95.0, 77.86, 0.3; GCA_900546065.1, s__Alistipes sp900546065, 95.0, 77.71, 0.21; GCA_002362235.1, s__Alistipes sp002362235, 95.0, 77.16, 0.22; GCA_900548155.1, s__Alistipes sp900548155, 95.0, 77.12, 0.19; GCA_900550925.1, s__Alistipes sp900550925, 95.0, 77.08, 0.16; GCA_900761235.1, s__Alistipes sp900761235, 95.0, 77.04, 0.15; GCA_900769445.1, s__Alistipes sp900769445, 95.0, 76.6, 0.03; GCA_002293345.1, s__Alistipes sp002293345, 95.0, 76.52, 0.13; GCA_900769405.1, s__Alistipes sp900769405, 95.0, 76.41, 0.14; GCA_900770585.1, s__Alistipes sp900770585, 95.0, 76.05, 0.11; GCA_900769745.1, s__Alistipes sp900769745, 95.0, 75.91, 0.04; GCA_900768015.1, s__Alistipes sp900768015, 95.0, 75.89, 0.09; GCA_900769525.1, s__Alistipes sp900769525, 95.0, 75.82, 0.05; GCA_900770635.1, s__Alistipes sp900770635, 95.0, 75.82, 0.05; GCA_900768045.1, s__Alistipes sp900768045, 95.0, 75.56, 0.03; GCA_900766655.1, s__Alistipes sp900766655, 95.0, 75.41, 0.04"	81.26	11	0.975428298	N/A
Sa_bin.120.fa	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Paracaedibacterales;f__UBA11393;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Paracaedibacterales;f__UBA11393;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	86.24	11	0.772234109	N/A
Sa_bin.121.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides_B;s__	N/A	N/A	N/A	N/A	N/A	GCF_900292045.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides_B;s__Parabacteroides_B pacaensis	79.16	0.38	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	87.51	11	0.953188355	N/A
Sa_bin.123.fa	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__RUG14156;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	93.83	11	0.784938329	N/A
Sa_bin.124.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__	N/A	N/A	N/A	N/A	N/A	GCF_900761915.1	95	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__HGM11386;s__HGM11386 sp900761915	75.67	0.04	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	76.51	11	0.832793787	N/A
Sa_bin.125.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	N/A	N/A	N/A	N/A	N/A	GCA_902388365.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp902388365	81.84	0.52	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	taxonomic classification defined by topology and ANI	N/A	"GCF_000012825.1, s__Phocaeicola vulgatus, 95.359, 84.94, 0.58; GCF_000614185.1, s__Phocaeicola sartorii, 95.0, 84.83, 0.56; GCF_011959205.1, s__Phocaeicola sp011959205, 95.0, 84.74, 0.58; GCF_013009555.1, s__Phocaeicola dorei, 95.359, 84.72, 0.57; GCF_900751965.1, s__Phocaeicola sp900751965, 95.0, 84.35, 0.49; GCF_900760795.1, s__Phocaeicola sp900760795, 95.0, 83.35, 0.54; GCA_002493165.1, s__Phocaeicola sp002493165, 95.0, 80.34, 0.42; GCF_000382445.1, s__Phocaeicola massiliensis, 95.0, 80.2, 0.34; GCA_900554435.1, s__Phocaeicola sp900554435, 95.0, 79.48, 0.31; GCF_003437535.1, s__Phocaeicola plebeius_A, 95.0, 78.07, 0.15; GCF_000187895.1, s__Phocaeicola plebeius, 95.0, 77.87, 0.14; GCA_900542985.1, s__Phocaeicola sp900542985, 95.0, 77.85, 0.18; GCF_013618865.1, s__Phocaeicola sp900541515, 95.0, 77.76, 0.13; GCA_900553715.1, s__Phocaeicola sp900553715, 95.0, 77.74, 0.13; GCF_000154845.1, s__Phocaeicola coprocola, 95.0, 77.74, 0.14; GCA_900553185.1, s__Phocaeicola sp900553185, 95.0, 77.72, 0.18; GCF_900128455.1, s__Phocaeicola mediterraneensis, 95.0, 77.67, 0.15; GCA_900552075.1, s__Phocaeicola sp900552075, 95.0, 77.67, 0.18; GCA_000434735.1, s__Phocaeicola sp000434735, 95.0, 77.64, 0.13; GCF_902362595.1, s__Phocaeicola sp900066455, 95.0, 77.63, 0.14; GCA_900556845.1, s__Phocaeicola sp900556845, 95.0, 77.63, 0.15; GCF_000374585.1, s__Phocaeicola barnesiae, 95.0, 77.62, 0.17; GCA_000432735.1, s__Phocaeicola sp000432735, 95.0, 77.59, 0.17; GCA_900546645.1, s__Phocaeicola sp900546645, 95.0, 77.57, 0.15; GCF_000157915.1, s__Phocaeicola coprophilus, 95.0, 77.52, 0.17; GCF_000613805.1, s__Phocaeicola paurosaccharolyticus, 95.0, 77.5, 0.11; GCF_902362605.1, s__Phocaeicola sp900066445, 95.0, 77.49, 0.11; GCA_900551445.1, s__Phocaeicola sp900551445, 95.0, 77.48, 0.17; GCA_900551065.1, s__Phocaeicola sp900551065, 95.0, 77.46, 0.17; GCA_900557085.1, s__Phocaeicola sp900557085, 95.0, 77.44, 0.1; GCA_900552645.1, s__Phocaeicola sp900552645, 95.0, 77.31, 0.13; GCF_900128495.1, s__Phocaeicola ilei, 95.0, 77.25, 0.14; GCA_900540105.1, s__Phocaeicola sp900540105, 95.0, 77.22, 0.12; GCA_900544075.1, s__Phocaeicola sp900544075, 95.0, 77.12, 0.11; GCA_900546355.1, s__Phocaeicola sp900546355, 95.0, 77.08, 0.14; GCA_900551645.1, s__Phocaeicola sp900551645, 95.0, 77.07, 0.17; GCA_900544675.1, s__Phocaeicola sp900544675, 95.0, 77.07, 0.14; GCF_000190575.1, s__Phocaeicola salanitronis, 95.0, 77.03, 0.11; GCA_000436795.1, s__Phocaeicola sp000436795, 95.0, 76.99, 0.16; GCA_902779535.1, s__Phocaeicola sp902779535, 95.0, 76.91, 0.08; GCF_002161765.1, s__Phocaeicola sp002161765, 95.0, 76.81, 0.14; GCF_002161565.1, s__Phocaeicola sp002161565, 95.0, 76.76, 0.11; GCA_900546095.1, s__Phocaeicola sp900546095, 95.0, 76.68, 0.1; GCA_004558305.1, s__Phocaeicola plebeius_B, 95.0, 76.68, 0.13; GCA_002315285.1, s__Phocaeicola sp002315285, 95.0, 76.01, 0.04; GCF_000312445.1, s__Phocaeicola abscessus, 95.0, 75.89, 0.05"	73.08	11	0.983906639	N/A
Sa_bin.128.fa	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA3830;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	88.7	11	0.665583213	N/A
Sa_bin.130.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__	N/A	N/A	N/A	N/A	N/A	GCA_002361095.1	95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella sp002361095	77.1	0.2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__	taxonomic classification defined by topology and ANI	N/A	"GCA_003343625.1, s__Eisenbergiella sp003343625, 95.0, 77.9, 0.3; GCF_003481005.1, s__Eisenbergiella sp900066775, 95.0, 77.44, 0.18; GCA_900550285.1, s__Eisenbergiella sp900550285, 95.0, 77.38, 0.29; GCA_900539715.1, s__Eisenbergiella sp900539715, 95.0, 77.32, 0.21; GCF_900243045.1, s__Eisenbergiella massiliensis, 95.0, 77.21, 0.17; GCA_900548905.1, s__Eisenbergiella sp900548905, 95.0, 77.08, 0.15; GCF_003478085.1, s__Eisenbergiella sp003478085, 95.0, 76.93, 0.16; GCA_900544445.1, s__Eisenbergiella sp900544445, 95.0, 76.82, 0.12; GCF_001881565.1, s__Eisenbergiella tayi, 95.0, 76.66, 0.17; GCA_900555195.1, s__Eisenbergiella sp900555195, 95.0, 76.21, 0.09"	92	11	0.954514014	N/A
Sa_bin.131.fa	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	94	11	0.879513622	N/A
