"","Path","Completeness","Redundancy"
"71","GCF_009660395.1.fna.gz",99.51,0.1
"72","GCF_016901955.1.fna.gz",99.33,0.67
"73","GCF_009718405.1.fna.gz",99.21,2.9
"74","GCF_002775995.1.fna.gz",99.45,0
"75","GCF_003462755.1.fna.gz",99.18,0.27
"76","GCF_000463385.1.fna.gz",99.88,0.07
"77","GCF_001129665.1.fna.gz",99.6,0.27
"78","GCA_910585815.1.fna.gz",99.33,0
"79","GCF_016902075.1.fna.gz",99.17,0.55
"80","GCF_002962375.1.fna.gz",100,1
"81","GCF_900059835.1.fna.gz",99.82,0.2
"82","GCF_015351965.1.fna.gz",99.45,0.55
"83","GCF_002585695.1.fna.gz",99.23,0.2
"84","GCF_001296095.1.fna.gz",99.38,2.78
"85","GCF_000230085.1.fna.gz",99.95,0.37
"86","GCF_016728785.1.fna.gz",100,0
"87","GCF_900052645.1.fna.gz",99.48,0.08
"88","GCF_009933645.1.fna.gz",100,0
"89","GCF_000209795.2.fna.gz",99.81,0.25
"90","GCF_900126155.1.fna.gz",99.51,0.11
"91","GCF_015689215.1.fna.gz",99.39,0
"92","GCF_001088125.1.fna.gz",99.42,0.41
"93","GCF_002150025.1.fna.gz",99.23,0.42
"94","GCF_000390685.1.fna.gz",99.63,0
"95","GCF_900073385.1.fna.gz",100,0
"96","GCF_000560245.1.fna.gz",99.23,0.11
"97","GCF_900192775.1.fna.gz",99.82,0.25
"98","GCF_001761045.1.fna.gz",99.45,0
"99","GCF_002355575.1.fna.gz",100,0
"100","GCF_001709825.1.fna.gz",99.45,0
"101","GCA_019117445.1.fna.gz",97.4,1.82
"102","GCF_002874775.1.fna.gz",97.76,0.34
"103","GCF_900163775.1.fna.gz",97.81,1
"104","GCF_009766225.1.fna.gz",97.57,1.96
"105","GCA_015066635.1.fna.gz",97.32,0
"106","GCA_900008545.1.fna.gz",97.72,0.44
"107","GCA_016288815.1.fna.gz",97.41,1.01
"108","GCA_017428215.1.fna.gz",97.09,0.63
"109","GCF_001330595.1.fna.gz",97.83,1.59
"110","GCA_018370905.1.fna.gz",97.16,1.89
"111","GCF_002576795.1.fna.gz",97.73,0.98
"112","GCF_009718125.1.fna.gz",97.96,0.68
"113","GCF_001752505.1.fna.gz",97.33,0.53
"114","GCF_009718075.1.fna.gz",97.96,0
"115","GCA_018364055.1.fna.gz",97.48,4.11
"116","GCA_014799405.1.fna.gz",97.99,0
"117","GCA_009774255.1.fna.gz",97.23,1.07
"118","GCA_017442875.1.fna.gz",97.75,2.81
"119","GCF_013349245.1.fna.gz",97.69,0.15
"120","GCF_001752515.1.fna.gz",97.59,0.53
"121","GCF_002273065.1.fna.gz",97.48,0.74
"122","GCA_902799525.1.fna.gz",97.99,0
"123","GCF_900692155.1.fna.gz",97.72,0.53
"124","GCF_003816055.1.fna.gz",97.98,1.12
"125","GCA_009884315.1.fna.gz",97.63,0.3
"126","GCA_003233805.1.fna.gz",98,0.56
"127","GCA_016775335.1.fna.gz",97.16,0
"128","GCA_002320595.1.fna.gz",97.58,0
"129","GCF_001867765.1.fna.gz",97.33,2.33
"130","GCA_910573835.1.fna.gz",97.59,1.72
"131","GCA_017445905.1.fna.gz",97.76,0.67
"132","GCA_008673415.1.fna.gz",97.51,0.95
"133","GCF_000499505.1.fna.gz",97.72,0.34
"134","GCA_910574995.1.fna.gz",97.99,1.68
"135","GCF_900603005.1.fna.gz",97.58,0.81
"136","GCA_015065085.1.fna.gz",97.09,0
"137","GCA_905215805.1.fna.gz",97.99,0
"138","GCF_001244495.1.fna.gz",97.82,0
"139","GCA_902764055.1.fna.gz",97.14,3.83
"140","GCA_002437585.1.fna.gz",97.95,2.89
"141","GCA_902763835.1.fna.gz",97.32,0.24
"142","GCF_015071225.1.fna.gz",97.36,0.38
"143","GCF_002871465.1.fna.gz",97.98,4.92
"144","GCA_004554585.1.fna.gz",97.99,0.84
"145","GCA_002492975.1.fna.gz",97.44,0.89
"146","GCA_002472245.1.fna.gz",97.71,3.06
"147","GCA_905212585.1.fna.gz",97.51,1.79
"148","GCF_901002585.1.fna.gz",97.72,0.34
"149","GCA_012970285.1.fna.gz",97.99,0
"150","GCF_008040345.1.fna.gz",97.7,0.9
"151","GCF_007115105.1.fna.gz",97.47,0.47
"152","GCF_003515855.1.fna.gz",97.08,0.09
"153","GCA_016938675.1.fna.gz",97.18,3.63
"154","GCA_015067025.1.fna.gz",97.65,0
"155","GCF_016820635.1.fna.gz",97.89,1.64
"156","GCA_017405765.1.fna.gz",97.32,0
"157","GCA_900539475.1.fna.gz",97.99,0
"158","GCA_905211305.1.fna.gz",97.09,0
"159","GCF_902381775.1.fna.gz",97.26,0
"160","GCA_018367225.1.fna.gz",97.99,1.68
"161","GCA_900315505.1.fna.gz",97.23,0
"162","GCF_003692845.1.fna.gz",97.4,0.76
"163","GCA_905206865.1.fna.gz",97.29,1.61
"164","GCF_018612955.1.fna.gz",97.81,3.22
"165","GCA_902386515.1.fna.gz",97.56,2.44
"166","GCA_018385135.1.fna.gz",97.99,0
"167","GCF_902375535.1.fna.gz",97.93,0
"168","GCA_910576535.1.fna.gz",97.61,0
"169","GCA_018716105.1.fna.gz",97.32,0
"170","GCA_012840295.1.fna.gz",97.57,1.05
"171","GCF_002274175.1.fna.gz",97.58,1.14
"172","GCF_000685885.1.fna.gz",97.87,0.38
"173","GCA_910578215.1.fna.gz",97.04,3.02
"174","GCA_008672985.1.fna.gz",97.61,0.12
"175","GCA_903789645.1.fna.gz",97.32,0.67
"176","GCA_904390495.1.fna.gz",97.47,0.16
"177","GCA_902765445.1.fna.gz",97.47,0.63
"178","GCF_900519475.1.fna.gz",97.59,0
"179","GCA_000761805.1.fna.gz",97.33,0
"180","GCA_905205685.1.fna.gz",97.99,0
"181","GCA_905213105.1.fna.gz",97.99,1.14
"182","GCA_012843025.1.fna.gz",97.67,0.23
"183","GCA_018368555.1.fna.gz",97.96,0
"184","GCF_900087015.1.fna.gz",97.98,0.81
"185","GCA_012519205.1.fna.gz",97.85,0.92
"186","GCF_000687735.1.fna.gz",98,0
"187","GCF_016900595.1.fna.gz",97.54,2.57
"188","GCA_910576145.1.fna.gz",97.99,0
"189","GCA_003513805.1.fna.gz",97.38,0
"190","GCF_015552045.1.fna.gz",97.84,1.48
"191","GCA_002367465.1.fna.gz",97.08,1.78
"192","GCF_001147605.1.fna.gz",97.64,0.46
"193","GCA_014868885.1.fna.gz",97.28,0.82
"194","GCA_017656145.1.fna.gz",97.06,1.01
"195","GCA_017473775.1.fna.gz",97.01,0.34
"196","GCA_012520715.1.fna.gz",98,0
"197","GCA_017441265.1.fna.gz",97.09,1.36
"198","GCA_902406065.1.fna.gz",97.99,0
"199","GCA_014804755.1.fna.gz",97.62,5.17
"200","GCF_900692135.1.fna.gz",97.72,0.53
"201","GCF_000525975.1.fna.gz",95.72,1.66
"202","GCA_003584005.1.fna.gz",96,0.4
"203","GCA_904420035.1.fna.gz",95.97,1.36
"204","GCA_900546305.1.fna.gz",95.19,1.27
"205","GCA_001044015.1.fna.gz",95.87,1.33
"206","GCA_013371255.1.fna.gz",95.89,0.57
"207","GCA_004555855.1.fna.gz",95.03,2.32
"208","GCA_910577525.1.fna.gz",95.64,0.67
"209","GCA_003150575.1.fna.gz",95.14,5.51
"210","GCA_015055615.1.fna.gz",95.16,0
"211","GCA_910587525.1.fna.gz",95.11,1.49
"212","GCF_001016995.1.fna.gz",95.39,0.18
"213","GCF_002807415.1.fna.gz",95.47,3.2
"214","GCA_902793895.1.fna.gz",95.77,0.5
"215","GCF_013401855.1.fna.gz",95.29,0.52
"216","GCA_004558525.1.fna.gz",95.97,0
"217","GCA_002493905.1.fna.gz",95.03,0.86
"218","GCA_002418925.1.fna.gz",95.59,0
"219","GCA_017433885.1.fna.gz",95.58,8.41
"220","GCA_001513425.1.fna.gz",95.54,2.96
"221","GCA_017428765.1.fna.gz",95.1,2.22
"222","GCA_900540805.1.fna.gz",95.97,0
"223","GCF_001642725.1.fna.gz",95.01,0.79
"224","GCF_001293305.1.fna.gz",95.88,1.84
"225","GCF_000174415.1.fna.gz",95.76,1.13
"226","GCA_003246365.1.fna.gz",95.62,1.48
"227","GCF_003259695.1.fna.gz",95.58,2.95
"228","GCA_900551085.1.fna.gz",95.49,3.62
"229","GCA_004558005.1.fna.gz",95.51,0
"230","GCF_007859205.1.fna.gz",95.16,0
"231","GCF_000165675.1.fna.gz",95.67,0.52
"232","GCA_004552305.1.fna.gz",95.15,0
"233","GCA_902762595.1.fna.gz",95.37,0
"234","GCF_002097425.1.fna.gz",95.57,0.95
"235","GCF_001114065.1.fna.gz",95.11,0.25
"236","GCA_902793425.1.fna.gz",95.25,1.34
"237","GCA_012523535.1.fna.gz",95.99,1.87
"238","GCF_003640545.1.fna.gz",95.89,0
"239","GCA_001916415.1.fna.gz",95.64,0
"240","GCA_900316345.1.fna.gz",95.64,0
"241","GCA_007117885.1.fna.gz",95.44,2.67
"242","GCA_012729975.1.fna.gz",95.64,1.34
"243","GCA_902779605.1.fna.gz",95.26,2.2
"244","GCA_017850335.1.fna.gz",95.58,0
"245","GCF_900478165.1.fna.gz",95.36,3.14
"246","GCF_000311225.1.fna.gz",95.56,1.06
"247","GCA_001513145.1.fna.gz",95.1,2.45
"248","GCA_001512995.1.fna.gz",95.89,0
"249","GCA_015068495.1.fna.gz",95.73,0.02
"250","GCA_002387265.1.fna.gz",95.39,0.33
"251","GCA_902779425.1.fna.gz",95.3,0
"252","GCA_018616535.1.fna.gz",95.88,0.77
"253","GCF_003435815.1.fna.gz",95.91,0.19
"254","GCF_000173355.1.fna.gz",95.83,1.52
"255","GCA_017621755.1.fna.gz",95.3,0.02
"256","GCA_016291475.1.fna.gz",95.59,8.22
"257","GCA_902775995.1.fna.gz",95.3,0
"258","GCA_017552715.1.fna.gz",95.41,4.76
"259","GCA_001028815.1.fna.gz",95.55,2.82
"260","GCA_910579285.1.fna.gz",95.91,0.57
"261","GCA_905208665.1.fna.gz",95.61,0.16
"262","GCA_902802885.1.fna.gz",95.19,2.1
"263","GCF_910590055.1.fna.gz",95.91,0.09
"264","GCA_000431515.1.fna.gz",95.62,0.67
"265","GCA_008673425.1.fna.gz",95.41,0.14
"266","GCF_002103975.1.fna.gz",95.86,1.38
"267","GCA_900541565.1.fna.gz",95.3,0
"268","GCA_900752105.1.fna.gz",95.3,0
"269","GCA_015056245.1.fna.gz",95.47,1.28
"270","GCF_018784465.1.fna.gz",95.46,0.63
"271","GCF_000525305.1.fna.gz",95.58,0.08
"272","GCF_008080335.1.fna.gz",95.55,1.2
"273","GCA_910588755.1.fna.gz",95.85,3.93
"274","GCA_017453065.1.fna.gz",95.8,7.11
"275","GCA_910587605.1.fna.gz",95.4,0
"276","GCA_905203015.1.fna.gz",95.97,0
"277","GCA_015064445.1.fna.gz",95.08,0.24
"278","GCA_012519155.1.fna.gz",95.17,1.77
"279","GCA_017410065.1.fna.gz",95.19,0.71
"280","GCF_904386005.1.fna.gz",95.97,1.34
"281","GCA_002906095.1.fna.gz",95.94,1.39
"282","GCA_001312445.1.fna.gz",95.75,0
"283","GCA_003486885.1.fna.gz",95.04,0
"284","GCA_000576345.1.fna.gz",95.44,1
"285","GCA_904378125.1.fna.gz",95.97,0
"286","GCA_910584165.1.fna.gz",95.51,2.81
"287","GCF_015234655.1.fna.gz",95.3,0
"288","GCA_017474445.1.fna.gz",95.6,1.37
"289","GCA_012523795.1.fna.gz",95.11,2.68
"290","GCA_017470985.1.fna.gz",95.97,2.58
"291","GCA_012518955.1.fna.gz",95.45,0
"292","GCF_003383895.1.fna.gz",95.57,0.95
"293","GCA_904419975.1.fna.gz",95.56,0
"294","GCA_910577435.1.fna.gz",95.08,0.7
"295","GCA_910588685.1.fna.gz",95.56,0
"296","GCA_003023695.1.fna.gz",95.43,1.83
"297","GCA_017625095.1.fna.gz",95.46,0
"298","GCA_003827835.1.fna.gz",95.93,0.08
"299","GCA_900548055.1.fna.gz",95.36,2.01
"300","GCA_016282855.1.fna.gz",95.96,5.87
"301","GCA_017556805.1.fna.gz",93.8,2.35
"302","GCF_001517425.1.fna.gz",93.27,2.14
"303","GCA_000438195.1.fna.gz",93.82,3.37
"304","GCA_004558435.1.fna.gz",93.66,0
"305","GCA_016293565.1.fna.gz",93.79,0
"306","GCA_900545585.1.fna.gz",93.62,0.67
"307","GCA_018715265.1.fna.gz",93.44,0.35
"308","GCA_003561265.1.fna.gz",93.42,2.41
"309","GCA_902754945.1.fna.gz",93.74,5.74
"310","GCA_018053945.1.fna.gz",93.32,1.48
"311","GCA_018064425.1.fna.gz",93.67,0
"312","GCA_009929385.1.fna.gz",93.19,4.19
"313","GCA_902791445.1.fna.gz",93.61,0
"314","GCA_002397445.1.fna.gz",93.89,1.31
"315","GCF_004340685.1.fna.gz",93.64,2.4
"316","GCA_000169315.1.fna.gz",93.16,0.33
"317","GCA_001310375.1.fna.gz",93.84,1.56
"318","GCA_017404885.1.fna.gz",93.82,1.12
"319","GCA_015067565.1.fna.gz",93.29,0
"320","GCA_017472305.1.fna.gz",93.49,0.48
"321","GCA_014865955.1.fna.gz",93.68,0.57
"322","GCA_002484025.1.fna.gz",93.71,0.42
"323","GCA_902798545.1.fna.gz",93.6,0.34
"324","GCA_902768135.1.fna.gz",93.1,3.36
"325","GCA_902794765.1.fna.gz",93.1,2.25
"326","GCA_017514345.1.fna.gz",93.29,1.01
"327","GCA_015064355.1.fna.gz",93.95,0.81
"328","GCA_900317275.1.fna.gz",93.64,1.1
"329","GCA_015066575.1.fna.gz",93.04,2.35
"330","GCA_002493225.1.fna.gz",93.24,4.79
"331","GCA_000437915.1.fna.gz",93.95,0.81
"332","GCA_910585685.1.fna.gz",93.55,0.03
"333","GCA_018715175.1.fna.gz",93.55,1.48
"334","GCA_900546215.1.fna.gz",93.38,0.89
"335","GCA_017633115.1.fna.gz",93.87,4.72
"336","GCA_902766335.1.fna.gz",93.98,1.34
"337","GCA_003513495.1.fna.gz",93.71,1.32
"338","GCA_017404385.1.fna.gz",93.82,1.24
"339","GCA_905205485.1.fna.gz",93.35,0.81
"340","GCA_017388705.1.fna.gz",93.94,4.37
"341","GCA_015068975.1.fna.gz",93.29,0.13
"342","GCA_003343865.1.fna.gz",93.55,8.49
"343","GCA_017937135.1.fna.gz",93.06,0.04
"344","GCA_017403955.1.fna.gz",93.59,2.48
"345","GCA_017935675.1.fna.gz",93.51,2.68
"346","GCA_015058105.1.fna.gz",93.12,2.01
"347","GCA_017527305.1.fna.gz",93.24,2.76
"348","GCA_017511805.1.fna.gz",93.82,1.89
"349","GCA_017513525.1.fna.gz",93.29,0
"350","GCA_017453305.1.fna.gz",93.17,6.04
"351","GCA_017536965.1.fna.gz",93.28,2.68
"352","GCA_902755285.1.fna.gz",93.74,0.67
"353","GCF_002274535.1.fna.gz",93.81,2.59
"354","GCA_905205195.1.fna.gz",93.63,0.67
"355","GCA_012838265.1.fna.gz",93.57,0.95
"356","GCA_910587365.1.fna.gz",93.55,0.08
"357","GCA_017620135.1.fna.gz",93.4,3.02
"358","GCA_900543365.1.fna.gz",93.02,0
"359","GCA_018384175.1.fna.gz",93.96,0
"360","GCA_902789795.1.fna.gz",93.41,1.61
"361","GCA_015255905.1.fna.gz",93.62,0.83
"362","GCA_900752435.1.fna.gz",93.96,0.67
"363","GCF_018499505.1.fna.gz",93.56,1.02
"364","GCA_900547645.1.fna.gz",93.15,1.37
"365","GCA_015059545.1.fna.gz",93.82,0.16
"366","GCA_017620655.1.fna.gz",93.79,1.9
"367","GCA_905234175.1.fna.gz",93.77,0.63
"368","GCA_012839765.1.fna.gz",93.14,2.45
"369","GCA_017441105.1.fna.gz",93.29,0.89
"370","GCF_004524765.1.fna.gz",93.29,2.13
"371","GCA_910574185.1.fna.gz",93.96,2.05
"372","GCA_014866125.1.fna.gz",93.28,2.71
"373","GCA_902786705.1.fna.gz",93.24,4.63
"374","GCA_014866735.1.fna.gz",93.87,3.38
"375","GCA_017397725.1.fna.gz",93.74,0.67
"376","GCA_002375825.1.fna.gz",93.77,1.58
"377","GCA_015068615.1.fna.gz",93.79,0.67
"378","GCA_905210695.1.fna.gz",93.71,0
"379","GCA_900066655.1.fna.gz",93.62,1.01
"380","GCA_017439665.1.fna.gz",93.65,0.96
"381","GCA_902792915.1.fna.gz",93.21,0
"382","GCA_000965295.1.fna.gz",93.1,1.03
"383","GCA_905206315.1.fna.gz",93.82,0
"384","GCA_905208425.1.fna.gz",93.95,0
"385","GCA_902770555.1.fna.gz",93.95,1.34
"386","GCA_015067525.1.fna.gz",93.68,8.72
"387","GCA_002399235.1.fna.gz",93.45,1.31
"388","GCF_005405205.1.fna.gz",93.82,1.12
"389","GCA_900543135.1.fna.gz",93.29,0
"390","GCA_905200915.1.fna.gz",93.94,0.89
"391","GCF_003017335.1.fna.gz",93.3,0
"392","GCA_902786965.1.fna.gz",93.88,0
"393","GCA_018372575.1.fna.gz",93.94,0.7
"394","GCA_900317295.1.fna.gz",93.63,5.06
"395","GCA_017463445.1.fna.gz",93.06,0.92
"396","GCA_017545645.1.fna.gz",93.28,4.3
"397","GCA_900547455.1.fna.gz",93.29,1.34
"398","GCF_000970375.1.fna.gz",93.48,0
"399","GCA_017470715.1.fna.gz",93.82,0
"400","GCF_904373325.1.fna.gz",93.15,0.05
"401","GCA_900546915.1.fna.gz",91.05,0.67
"402","GCA_902790795.1.fna.gz",91.72,1.91
"403","GCA_017629175.1.fna.gz",91.05,2.11
"404","GCA_904380145.1.fna.gz",91.25,1.51
"405","GCA_910585405.1.fna.gz",91.26,2.04
"406","GCA_900318375.1.fna.gz",91.98,2.97
"407","GCA_910576925.1.fna.gz",91.01,0
"408","GCA_015069135.1.fna.gz",91.26,2.16
"409","GCA_003558105.1.fna.gz",91.11,6.67
"410","GCF_016454885.1.fna.gz",91.49,0
"411","GCA_905200265.1.fna.gz",91.01,0.22
"412","GCA_902784975.1.fna.gz",91.97,0
"413","GCA_900768535.1.fna.gz",91.9,0.92
"414","GCA_016297745.1.fna.gz",91.13,0
"415","GCA_902773585.1.fna.gz",91.93,0.34
"416","GCA_902797645.1.fna.gz",91.56,0
"417","GCF_006494695.1.fna.gz",91.35,0
"418","GCA_017938695.1.fna.gz",91.28,2.53
"419","GCA_012520435.1.fna.gz",91.57,1.69
"420","GCA_003551095.1.fna.gz",91.29,3.8
"421","GCA_016288795.1.fna.gz",91.57,1.12
"422","GCA_002410845.1.fna.gz",91.04,0
"423","GCA_015263645.1.fna.gz",91.43,1.42
"424","GCA_900544575.1.fna.gz",91.59,0
"425","GCA_004556655.1.fna.gz",91.14,4.75
"426","GCA_900315415.1.fna.gz",91.87,0.48
"427","GCA_017616435.1.fna.gz",91.28,1.01
"428","GCA_017403465.1.fna.gz",91.53,4.16
"429","GCA_017390805.1.fna.gz",91.69,4.45
"430","GCF_018613395.1.fna.gz",91.32,0.19
"431","GCA_017433445.1.fna.gz",91.11,6.71
"432","GCA_902780585.1.fna.gz",91.57,6.74
"433","GCA_900318495.1.fna.gz",91.59,0.67
"434","GCF_009935875.1.fna.gz",91.05,2.03
"435","GCA_012837925.1.fna.gz",91.65,1.69
"436","GCA_017427685.1.fna.gz",91.85,2.08
"437","GCA_900544605.1.fna.gz",91.57,0
"438","GCA_001311665.1.fna.gz",91.65,1.18
"439","GCA_905211055.1.fna.gz",91.01,0
"440","GCA_004552085.1.fna.gz",91.95,0.67
"441","GCA_004556215.1.fna.gz",91.38,4.34
"442","GCA_002473365.1.fna.gz",91.22,0.67
"443","GCA_018715905.1.fna.gz",91.5,0.16
"444","GCA_902767405.1.fna.gz",91.8,0.56
"445","GCA_900544435.1.fna.gz",91.67,0
"446","GCA_905199935.1.fna.gz",91.6,0
"447","GCA_014869605.1.fna.gz",91.23,0.67
"448","GCA_002329705.1.fna.gz",91.01,0
"449","GCF_018305165.1.fna.gz",91.6,2.12
"450","GCA_017625615.1.fna.gz",91.37,0
"451","GCA_900768345.1.fna.gz",91.57,0.56
"452","GCA_904419465.1.fna.gz",91.7,0.67
"453","GCA_014360105.1.fna.gz",91.9,2.75
"454","GCA_905199135.1.fna.gz",91.61,1.9
"455","GCA_014848605.1.fna.gz",91.19,0.81
"456","GCA_902796755.1.fna.gz",91.12,3.75
"457","GCA_015057775.1.fna.gz",91.35,3.22
"458","GCA_900753315.1.fna.gz",91.01,0
"459","GCA_910586955.1.fna.gz",91.11,0
"460","GCA_018334055.1.fna.gz",91.53,0.21
"461","GCF_001151885.1.fna.gz",91.85,0.81
"462","GCA_900318765.1.fna.gz",91.05,1.61
"463","GCA_009774785.1.fna.gz",91.48,0.56
"464","GCA_018370535.1.fna.gz",91.79,2.11
"465","GCA_900770265.1.fna.gz",91.78,0.55
"466","GCA_017446605.1.fna.gz",91.63,1.22
"467","GCA_002350705.1.fna.gz",91.36,0.67
"468","GCA_900766465.1.fna.gz",91.8,1.61
"469","GCF_001622525.1.fna.gz",91.66,0.27
"470","GCA_017441295.1.fna.gz",91.26,1.01
"471","GCA_002097415.1.fna.gz",91.97,0.68
"472","GCA_904384225.1.fna.gz",91.28,0
"473","GCA_902787625.1.fna.gz",91.97,3.36
"474","GCA_017404445.1.fna.gz",91.29,1.12
"475","GCA_902795055.1.fna.gz",91.3,7.94
"476","GCA_000438415.1.fna.gz",91.57,1.12
"477","GCA_902785765.1.fna.gz",91.05,0
"478","GCA_016297945.1.fna.gz",91.6,1.94
"479","GCA_003524985.1.fna.gz",92,0.36
"480","GCA_004367365.1.fna.gz",91.58,3.96
"481","GCA_019137235.1.fna.gz",91.47,1.84
"482","GCA_008669065.1.fna.gz",91.44,1.92
"483","GCA_002472665.1.fna.gz",91.54,2.46
"484","GCA_015069215.1.fna.gz",91.84,2.84
"485","GCA_900546275.1.fna.gz",91.57,0.56
"486","GCA_016284375.1.fna.gz",91.09,3.01
"487","GCA_902771125.1.fna.gz",91.5,0.67
"488","GCA_900772095.1.fna.gz",91.01,1.12
"489","GCA_900318435.1.fna.gz",91.49,5.2
"490","GCA_012837865.1.fna.gz",91.72,2.68
"491","GCA_900767315.1.fna.gz",91.57,0
"492","GCA_018371415.1.fna.gz",91.57,2.25
"493","GCA_017409405.1.fna.gz",91.57,0.67
"494","GCA_018715065.1.fna.gz",91.33,1.89
"495","GCA_902780075.1.fna.gz",91.56,6.42
"496","GCA_902765025.1.fna.gz",91.95,0.67
"497","GCA_900763125.1.fna.gz",91.45,0.22
"498","GCA_019116345.1.fna.gz",91.33,0.74
"499","GCA_012520505.1.fna.gz",91.72,0.78
"500","GCA_016285715.1.fna.gz",91.18,0.67
"501","GCF_000598065.1.fna.gz",89.18,0.11
"502","GCA_902789675.1.fna.gz",89.96,0.81
"503","GCA_008667945.1.fna.gz",89.93,0.93
"504","GCA_902787495.1.fna.gz",89.62,2.2
"505","GCA_000148975.2.fna.gz",89.73,0.58
"506","GCA_003457065.1.fna.gz",89.09,7.25
"507","GCA_002385755.1.fna.gz",89.78,1.33
"508","GCA_017402825.1.fna.gz",89.2,6.06
"509","GCA_018725535.1.fna.gz",89.38,0
"510","GCA_009777155.1.fna.gz",89.93,1.48
"511","GCA_902795985.1.fna.gz",89.52,7.81
"512","GCA_004552445.1.fna.gz",89.16,2.81
"513","GCA_016841945.1.fna.gz",89.28,4.6
"514","GCA_902795905.1.fna.gz",89.28,4.38
"515","GCA_018715985.1.fna.gz",89.61,3.32
"516","GCA_902782645.1.fna.gz",89.74,1.95
"517","GCA_902757995.1.fna.gz",89.39,0.73
"518","GCA_015056725.1.fna.gz",89.39,4.49
"519","GCA_905200175.1.fna.gz",89.63,0.81
"520","GCA_900545885.1.fna.gz",89.8,0
"521","GCF_004342885.1.fna.gz",89.56,1.61
"522","GCA_900757905.1.fna.gz",89.69,0.78
"523","GCA_902755035.1.fna.gz",89.02,2.36
"524","GCA_905236105.1.fna.gz",90,6.67
"525","GCA_018714325.1.fna.gz",89.01,0.63
"526","GCA_902788995.1.fna.gz",89.91,2.47
"527","GCA_017937085.1.fna.gz",89.66,2.01
"528","GCA_002394125.1.fna.gz",89.68,0.67
